true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
Young Digital Spender,25,3970.0,0.141,0.648,30.5,36.16,64,560.0,0.554,15,3600.0
Budget-Conscious Saver,38,5680.0,0.308,0.152,1.9,26.47,26,930.0,0.19,49,3710.0
Budget-Conscious Saver,33,4270.0,0.21,0.24,10.2,40.28,24,2730.0,0.163,14,3670.0
Steady Middle,34,6720.0,0.186,0.337,7.6,72.21,25,8240.0,0.215,47,5790.0
Credit-Reliant Household,34,3310.0,-0.027,0.432,13.1,24.85,40,150.0,0.869,48,3860.0
Steady Middle,29,6870.0,0.114,0.359,6.9,99.45,19,7440.0,0.395,38,6370.0
Budget-Conscious Saver,33,3950.0,0.189,0.237,2.0,19.01,17,3100.0,0.147,58,3190.0
Steady Middle,36,7250.0,0.23,0.405,10.5,59.12,34,6710.0,0.247,54,6040.0
Young Digital Spender,20,3120.0,0.087,0.503,10.3,44.55,62,360.0,0.447,37,2600.0
Credit-Reliant Household,37,2740.0,0.003,0.394,12.6,57.28,33,250.0,0.701,52,2360.0
Steady Middle,28,6030.0,0.112,0.372,10.3,90.88,30,4680.0,0.36,42,5440.0
High-Income Investor,50,17230.0,0.349,0.487,6.4,209.43,29,64680.0,0.074,8,11610.0
Steady Middle,49,4480.0,0.103,0.413,7.9,62.01,27,13200.0,0.332,1,4110.0
Credit-Reliant Household,48,4460.0,-0.024,0.435,8.3,16.36,25,120.0,0.643,23,4620.0
Credit-Reliant Household,52,4770.0,0.052,0.504,10.0,41.82,35,100.0,0.802,20,3920.0
Credit-Reliant Household,45,3050.0,-0.051,0.324,6.0,44.11,23,190.0,0.742,30,3260.0
High-Income Investor,44,16580.0,0.291,0.446,6.1,152.69,17,109810.0,0.182,39,12420.0
Budget-Conscious Saver,36,4710.0,0.155,0.219,7.6,60.29,16,5110.0,0.13,25,3500.0
Budget-Conscious Saver,33,6390.0,0.297,0.217,8.7,60.31,3,2830.0,0.186,28,4480.0
Steady Middle,28,4860.0,0.089,0.232,7.5,84.64,25,10310.0,0.222,12,4380.0
Credit-Reliant Household,32,3700.0,-0.059,0.508,3.6,41.43,33,320.0,1.0,43,4040.0
Budget-Conscious Saver,35,5270.0,0.152,0.243,3.0,43.55,19,4810.0,0.096,36,5130.0
High-Income Investor,54,11390.0,0.279,0.388,4.9,183.84,13,71060.0,0.157,37,9040.0
High-Income Investor,47,13400.0,0.362,0.245,5.9,84.16,11,37290.0,0.121,4,9000.0
Steady Middle,33,6840.0,0.071,0.412,13.3,95.97,23,7130.0,0.38,43,6060.0
Young Digital Spender,24,2720.0,0.052,0.66,26.2,25.24,55,370.0,0.528,42,2860.0
Young Digital Spender,27,4440.0,0.041,0.544,22.8,36.07,39,210.0,0.333,32,4540.0
Steady Middle,29,7190.0,0.108,0.339,11.8,71.6,33,5090.0,0.347,19,6220.0
Steady Middle,34,6290.0,0.087,0.336,8.6,64.84,35,3260.0,0.157,44,5460.0
Credit-Reliant Household,42,2710.0,-0.018,0.455,9.3,33.95,21,300.0,0.698,31,2830.0
Young Digital Spender,24,3900.0,0.021,0.57,26.3,48.22,52,380.0,0.545,25,3670.0
Steady Middle,47,7880.0,0.154,0.41,8.7,67.33,34,5320.0,0.223,51,6730.0
Steady Middle,39,4770.0,0.148,0.281,6.0,95.45,26,6160.0,0.146,59,3830.0
Steady Middle,31,4480.0,0.192,0.399,9.8,74.48,32,3600.0,0.255,32,3560.0
Budget-Conscious Saver,32,3840.0,0.171,0.222,10.4,40.98,41,2980.0,0.142,49,3570.0
Credit-Reliant Household,38,4540.0,0.002,0.342,6.0,28.31,20,40.0,0.746,35,4760.0
Credit-Reliant Household,32,2680.0,0.004,0.453,12.8,10.19,39,90.0,0.767,5,2940.0
Credit-Reliant Household,48,4190.0,0.032,0.371,4.5,26.62,36,60.0,0.643,5,4600.0
Young Digital Spender,25,3580.0,0.075,0.624,15.6,21.79,48,20.0,0.238,40,3160.0
Young Digital Spender,25,4460.0,0.106,0.743,22.4,21.32,56,60.0,0.239,27,3450.0
Budget-Conscious Saver,38,3730.0,0.339,0.222,11.6,48.09,30,5050.0,0.135,13,2590.0
Credit-Reliant Household,39,2790.0,-0.022,0.451,8.2,16.21,38,40.0,0.794,11,3100.0
Steady Middle,40,7550.0,0.127,0.371,7.3,57.55,19,7420.0,0.263,5,6170.0
Credit-Reliant Household,32,3460.0,-0.017,0.318,6.6,41.47,33,380.0,0.857,41,3130.0
Steady Middle,37,5890.0,0.068,0.273,7.7,69.78,18,2340.0,0.266,12,6060.0
Steady Middle,30,4240.0,0.076,0.318,8.3,30.35,30,8870.0,0.378,26,3900.0
Budget-Conscious Saver,29,4080.0,0.171,0.26,8.6,64.57,15,3670.0,0.111,28,3430.0
Steady Middle,48,4280.0,0.129,0.4,12.5,35.93,29,1410.0,0.233,12,3600.0
